ticker,Date,Stock Splits,Split Ratio
CBSH,2024-12-03 05:00:00+00:00,1.05,1.05:1
RNAZ,2024-12-04 05:00:00+00:00,0.0303030303030303,1:33
AGRI,2024-12-05 05:00:00+00:00,0.01,1:100
ENSC,2024-12-06 05:00:00+00:00,0.0666666666666666,1:15
HUIZ,2024-12-09 05:00:00+00:00,0.2,1:5
JL,2024-12-10 05:00:00+00:00,0.1,1:10
FBYD,2024-12-10 05:00:00+00:00,1.2,1.2:1
PATK,2024-12-16 05:00:00+00:00,1.5,1.5:1
PANW,2024-12-16 05:00:00+00:00,2.0,2:1
XXII,2024-12-17 05:00:00+00:00,0.0074074074074074,1:135
MTC,2024-12-18 05:00:00+00:00,0.125,1:8
TSCO,2024-12-20 05:00:00+00:00,5.0,5:1
NEUP,2024-12-24 05:00:00+00:00,0.0833333333333333,1:12
CHAI,2024-12-27 05:00:00+00:00,0.1,1:10
DFDV,2024-12-30 05:00:00+00:00,0.125,1:8
COEP,2024-12-31 05:00:00+00:00,0.05,1:20
TVRD,2024-12-31 05:00:00+00:00,0.0833333333333333,1:12
ELBM,2025-01-02 05:00:00+00:00,0.25,1:4
CISS,2025-01-02 05:00:00+00:00,0.4,1:2.5
CERO,2025-01-08 05:00:00+00:00,0.01,1:100
XTIA,2025-01-10 05:00:00+00:00,0.004,1:250
OBT,2025-01-13 05:00:00+00:00,2.0,2:1
EVAX,2025-01-14 05:00:00+00:00,0.2,1:5
SMX,2025-01-15 05:00:00+00:00,0.035,1:28.57142857142857
KLRS,2025-01-16 05:00:00+00:00,0.0434782608695652,1:23
MBIO,2025-01-16 05:00:00+00:00,0.02,1:50
BNGO,2025-01-27 05:00:00+00:00,0.0166666666666666,1:60
CDT,2025-01-27 05:00:00+00:00,0.01,1:100
ENVB,2025-01-27 05:00:00+00:00,0.0666666666666666,1:15
INKT,2025-01-28 05:00:00+00:00,0.1,1:10
REVB,2025-01-28 05:00:00+00:00,0.0625,1:16
WHLR,2025-01-28 05:00:00+00:00,0.25,1:4
PPCB,2025-01-29 05:00:00+00:00,0.5,1:2
ENVB,2025-01-29 05:00:00+00:00,0.0666666666666666,1:15
FATBB,2025-01-30 05:00:00+00:00,1.576,1.576:1
ACON,2025-01-30 05:00:00+00:00,0.0029850746268656,1:335
FAT,2025-01-30 05:00:00+00:00,1.794,1.794:1
BLRX,2025-01-30 05:00:00+00:00,0.025,1:40
FCUV,2025-01-31 05:00:00+00:00,0.1,1:10
GCTK,2025-02-04 05:00:00+00:00,0.05,1:20
TNXP,2025-02-05 05:00:00+00:00,0.01,1:100
FTLF,2025-02-07 05:00:00+00:00,2.0,2:1
RIME,2025-02-10 05:00:00+00:00,0.005,1:200
GSAT,2025-02-11 05:00:00+00:00,0.0666666666666666,1:15
TANH,2025-02-13 05:00:00+00:00,0.025,1:40
HYFM,2025-02-13 05:00:00+00:00,0.1,1:10
CYN,2025-02-18 05:00:00+00:00,0.0066666666666666,1:150
OTLY,2025-02-18 05:00:00+00:00,0.05,1:20
CNSP,2025-02-21 05:00:00+00:00,0.02,1:50
GRI,2025-02-24 05:00:00+00:00,0.0588235294117647,1:17
HWH,2025-02-24 05:00:00+00:00,0.2,1:5
WDC,2025-02-24 05:00:00+00:00,1.323,1.323:1
SXTP,2025-02-24 05:00:00+00:00,0.2,1:5
KPTI,2025-02-26 05:00:00+00:00,0.0666666666666666,1:15
METC,2025-02-28 05:00:00+00:00,1.014,1.014:1
EDBL,2025-03-03 05:00:00+00:00,0.04,1:25
VERO,2025-03-04 05:00:00+00:00,0.0909090909090909,1:11
TIVC,2025-03-07 05:00:00+00:00,0.0588235294117647,1:17
MNDR,2025-03-10 04:00:00+00:00,0.125,1:8
ELAB,2025-03-10 04:00:00+00:00,0.1428571428571428,1:7
BLNE,2025-03-12 04:00:00+00:00,0.1,1:10
IPDN,2025-03-13 04:00:00+00:00,0.1,1:10
VBIX,2025-03-14 04:00:00+00:00,0.25,1:4
NAOV,2025-03-14 04:00:00+00:00,0.0909090909090909,1:11
WLDS,2025-03-17 04:00:00+00:00,0.25,1:4
NWTG,2025-03-17 04:00:00+00:00,0.0333333333333333,1:30
BHAT,2025-03-17 04:00:00+00:00,0.01,1:100
FAMI,2025-03-17 04:00:00+00:00,0.0833333333333333,1:12
ADTX,2025-03-17 04:00:00+00:00,0.004,1:250
SAIH,2025-03-17 04:00:00+00:00,0.0666666666666666,1:15
IVF,2025-03-18 04:00:00+00:00,0.0833333333333333,1:12
ULY,2025-03-18 04:00:00+00:00,0.0833333333333333,1:12
WKSP,2025-03-18 04:00:00+00:00,0.1,1:10
VIVS,2025-03-21 04:00:00+00:00,0.0833333333333333,1:12
SHFS,2025-03-24 04:00:00+00:00,0.05,1:20
SNEX,2025-03-24 04:00:00+00:00,1.5,1.5:1
JAGX,2025-03-24 04:00:00+00:00,0.04,1:25
ANGI,2025-03-24 04:00:00+00:00,0.1,1:10
XELB,2025-03-25 04:00:00+00:00,0.1,1:10
LGHL,2025-03-26 04:00:00+00:00,0.02,1:50
WHLR,2025-03-27 04:00:00+00:00,0.2,1:5
ACON,2025-03-28 04:00:00+00:00,0.037037037037037,1:27
AREB,2025-03-31 04:00:00+00:00,0.04,1:25
AUUD,2025-03-31 04:00:00+00:00,0.0588235294117647,1:17
HUBC,2025-03-31 04:00:00+00:00,0.1,1:10
ICON,2025-04-01 04:00:00+00:00,0.025,1:40
WNW,2025-04-01 04:00:00+00:00,0.05,1:20
VCIG,2025-04-03 04:00:00+00:00,0.05,1:20
WIMI,2025-04-03 04:00:00+00:00,2.0,2:1
MKTW,2025-04-03 04:00:00+00:00,0.05,1:20
CISS,2025-04-04 04:00:00+00:00,0.1666666666666666,1:6
SOBR,2025-04-04 04:00:00+00:00,0.1,1:10
FTFT,2025-04-04 04:00:00+00:00,0.1,1:10
LGCB,2025-04-07 04:00:00+00:00,0.1,1:10
SPPL,2025-04-07 04:00:00+00:00,0.125,1:8
TGL,2025-04-07 04:00:00+00:00,0.02,1:50
NEGG,2025-04-07 04:00:00+00:00,0.05,1:20
BGLC,2025-04-07 04:00:00+00:00,0.1,1:10
VEEE,2025-04-08 04:00:00+00:00,0.1,1:10
QNRX,2025-04-09 04:00:00+00:00,0.0285714285714285,1:35
TPST,2025-04-09 04:00:00+00:00,0.0769230769230769,1:13
WBUY,2025-04-10 04:00:00+00:00,0.0083333333333333,1:120
AMRN,2025-04-11 04:00:00+00:00,0.05,1:20
HCWB,2025-04-11 04:00:00+00:00,0.025,1:40
MAAS,2025-04-14 04:00:00+00:00,0.0166666666666666,1:60
PIII,2025-04-14 04:00:00+00:00,0.02,1:50
WIMI,2025-04-14 04:00:00+00:00,0.05,1:20
CMCT,2025-04-15 04:00:00+00:00,0.04,1:25
TVRD,2025-04-16 04:00:00+00:00,0.3333333333333333,1:3
KZIA,2025-04-17 04:00:00+00:00,0.2,1:5
BMRA,2025-04-21 04:00:00+00:00,0.125,1:8
SUNE,2025-04-21 04:00:00+00:00,0.005,1:200
MCRB,2025-04-22 04:00:00+00:00,0.05,1:20
MBBC,2025-04-22 04:00:00+00:00,1.372,1.372:1
BSLK,2025-04-22 04:00:00+00:00,0.05,1:20
SWKH,2025-04-24 04:00:00+00:00,1.262,1.262:1
XFOR,2025-04-28 04:00:00+00:00,0.0333333333333333,1:30
STSS,2025-04-28 04:00:00+00:00,0.0033333333333333,1:300
STKH,2025-04-28 04:00:00+00:00,0.2,1:5
NAAS,2025-04-28 04:00:00+00:00,0.25,1:4
JBIO,2025-04-29 04:00:00+00:00,0.0285714285714285,1:35
